	Iozone: Performance Test of File I/O
	        Version $Revision: 3.434 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Feb 11 01:27:30 2016

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            4096       8  2285832  2792200  7367624 13299112 12794009  4906002  6585338   7701194  12083134  4691638  2763900  6872481 10612681
            4096      16  2234400  2874423  7237268 12880338 13126371  5396016  6693092   7486415  12523544  4011358  2727047  7012747 12958059
            4096      32  2530244  2915397  7289472 13247835 13834587  5672159  7096756   7529067  13217259  4490523  2923832  7542289 13126371
            4096      64  2536221  2968287  7863339 12229356 14118827  6225028  7249484   7742845  13340420  5075585  3070133  7642951 13176709
            4096     128  2514321  3197560  6804432 12718238 13126371  6131713  6941906   7434579  12643359  4664886  2921346  6585338 11570449
            4096     256  2413646  3065750  7024216 11841605 12049235  5818150  6714018   6595451  13465897  4380601  2917377  6790983 11800935
            4096     512  2380206  3070682  7367624 10476771 12560167  5818150  6532752   6389405  12007129  4505833  3531460  6861502 11193514
            4096    1024  2464192  3022599  9062041 11609543 12194633  6077484  8013724   6060333  12117223  5238075  3972402  7542289 11841605
            4096    2048  2500779  3999219  9823772 12569357 12450933  5751920  8770583   6339889  11736440  4371684  5223741  8811067 12334720
            4096    4096  2427973  3148338 11633127 12727660 11704457  5969780  8734909   5580043   8409937  5736555  3308398  8463799 11664722
            8192       4  1898033  2574379  6330318 10175219 10190307  4311239  5769116   5764277   9266865  4116513  2618123  6273682  8109821
            8192       8  2392438  2709159  7447157 10371794 12031539  4917099  6786699   7528746   9859872  4950396  3060236  6872214 11699697
            8192      16  2375238  2860259  7136266 12391686 13630458  5375591  6715075   7719891  12027327  4098346  2751683  7230880 12137794
            8192      32  2113560  2979046  7025373 10681322 12918138  5428245  6978288   7055669  14002632  4862131  2852186  7111158 11719650
            8192      64  2219362  2931016  7281448 11652086 14048433  5957159  7250716   7570215  12414071  4938300  2898869  7359427 11620560
            8192     128  1994666  3065970  7155586 11488455 12373836  6278267  6742748   7565215  12545518  4702429  3012742  7211152 10967720
            8192     256  2244882  3027341  6786699 10953735 12717323  5949938  6481984   6675934  10908526  4536055  2941303  6475875 10707952
            8192     512  2444696  3124519  7161552 10556617 12490790  5810089  7019632   6321001   9845745  4578974  3029744  7031124 10460204
            8192    1024  2534688  3071726  7692239 11222050 11889982  6114043  6660405   6257686  12027327  4667931  3160444  6844834 10967720
            8192    2048  2129937  3058874  7515572 11131163 12206788  5588034  6670750   6414221   9882559  3889573  3505449  7038325  9965682
            8192    4096  2188127  3039661  8981046 10303370 12206788  6370221  6775991   5931450   8837822  5805180  4334079  7061469  9954134
            8192    8192  1988778  2995407 12280959 12409588 12103589  5684175  7038325   5542961   6379683  5576245  3180336  6456406 11251448
           16384       4  1792753  2600271  6357730  8440323  8126898  3397613  5612591   5574347   6161631  2891649  2434460  6274716  7515413
           16384       8  1917406  2800212  7292115  9097331 10227930  4465549  6662863   7414059  10144884  4556146  2760061  7041070  7758070
           16384      16  2031029  2888610  7350615 10680999 11769440  5018289  6823632   7557565  10396595  3990259  2779261  6956957  8388806
           16384      32  1989055  2976182  7670606 10226408 12309129  5134524  7126502   7397299   9411299  4319587  2908046  7265132  9127540
           16384      64  2093777  3017876  7352975  9592593 11185164  4731180  7484309   7816309  11362712  4519886  2988738  7350615  9597952
           16384     128  2270456  3159834  7034583  9012620 11653678  6008099  6852892   7546776  10878833  4742281  3031321  7227690  9965402
           16384     256  2346271  3132039  6756542  9388155 11245567  5813926  6867274   6671272  10596998  4339225  2940524  6966125  9045838
           16384     512  2403047  3028916  7116907  9132392 10549819  5035203  6818216   6412908   8295640  3568766  2951511  7028827  7403675
           16384    1024  2001219  3188275  7133159 10026469 11370232  5498083  7080244   6551072  12001713  3278005  3001269  7046846  9782402
           16384    2048  2223369  3109505  7160661  9948090 11314072  5332959  6910087   6246767  11145254  3788951  3206275  7340408  9620796
           16384    4096  2028511  3139336  7991746  9240456 10003117  5070872  6965419   6250745  10402891  3922388  3607926  7136122  9372790
           16384    8192  2029709  3025582  8493527  9654587  9581893  4534500  6887233   5845080   8175239  5529493  4352693  6272425  6761860
           16384   16384  1794157  2546410  4344712  1160335  1172551   934198   335168   1174977   1206582  1642010  2836505  5275236  5586129
           32768      64  2026590  3160547  7846567  7984692  8557946  3388968  7684676   7830027   7871283  3345413  3102473  7672236  7811336
           32768     128  2064242  3285356  7384900  7909333  8524505  3812897  7632611   7697588   8210307  3411936  3008153  7470805  7841195
           32768     256  2067099  3224237  7120523  7265826  8051111  3563659  7039557   6964645   8138836  3333485  2978362  6897189  7250876
           32768     512  1994765  3221441  7126800  7706220  8145107  3670735  6848046   6426343   8285042  3319235  2928856  7190935  7759298
           32768    1024  2045319  3278459  7343862  7614850  7790526  3630399  7146812   6574514   8136909  3413715  3071892  7363929  8017764
           32768    2048  2080523  2562017  7587106  8192200  8861423  4056902  7268900   6796907  12578145  3321642  3098067  7319223  7351718
           32768    4096  2030483  3302566  7820671  8175631  7833597  3472275  7190559   6532640  10900235  3428276  3313234  7198468  7375389
           32768    8192  1996330  3216691  7967103  8136909  7564139  3520031  6970296   5954686  10148484  3927185  3287949  7464313  7386885
           32768   16384  1870100  2915065  6210861  5885077  5997299  3170901  4793355   3058085   5666229  3993715  4356944  5599512  6217886
           65536      64  2075759  3237292  7961981  8021462  8425943  3404279  8011642   7837351   8305269  3245625  3054307  7941738  8157387
           65536     128  2040609  3359798  7503599  7735455  7728278  3502887  7528672   7363496   7639146  3085956  3011772  7902695  7889312
           65536     256  2042823  3320631  7153843  7354631  7362707  3468980  7192216   6860318   7286010  3091475  2961829  7022796  7088171
           65536     512  2000671  3274975  7315095  7363694  7564099  3432078  7229670   6736245   7465895  3088696  3011080  7288135  7170265
           65536    1024  2046535  3347768  7262333  7212786  7586018  3483929  7406751   5221963   7377726  3083049  3015208  7324060  7507698
           65536    2048  2053844  3360784  7441440  7560562  7655101  3480048  7505238   6738226   7859986  3116889  3097152  7510365  7460829
           65536    4096  2067842  3342679  7576400  7527641  7830653  3546683   954862   1829545    893433   788963  3133304  7333244  7362905
           65536    8192  1979221  3179183  7290648  7601122  7261565  3440583  7264060   5922841   9800684  2949150  2966367  7251987  7291615
           65536   16384  1884896  2868845  5500769  5631266  5388198  3033242  5378393   3285034   5635075  2911293  2914503  5011556  5361608
          131072      64  1909246  1843823  8079439  8212443  8043621  2632503  7864124   7809385   8070425  2955870  1807813  8012787  8069477
          131072     128  1932046  1915333  7762193  7872232  7865587  2888195  7705509   7748845   7689666  2866330  1773927  7881712  7790793
          131072     256  1925941  1875513  7084591  6945763  6899302  3150701  7269228   6805441   7169873  2823012  1775056  7462937  6466284
          131072     512  1793172  1840483  7296338  6582577  6436456  3021702  7345473   6815311   7587359  2887557  1956093  7413523  7483865
          131072    1024  1780938  1938935  7569390  7669926  7611099  2848286  7235170   6568734   7487228  2798226  1991343  7710048  7538976
          131072    2048  1927183  1863934  7419426  7555866  7559814  2755298  7701947   6775163   7804618  2929190  2300071  7709616  7575962
          131072    4096  1960306  1901356  7606254  7666824  7594381  2872365  7440514   6648330   7552855  2909025  2914191  7760330  7756169
          131072    8192  1936702  1807463  7525148  7429051  7303220  3240036  7319263   6466589  11100166  2720865  2691361  7195115  7460810
          131072   16384  1757920  1750408  4903726  4773727  4646001  2862270  5096522   3469896   5526027  2400367  2437187  5447020  5517653
          262144      64   151799   144793  8097635  8228534  7933167   153780  1152063   7750254   7564641   180221   145466  8062247  8160864
          262144     128   152503   145761  7981715  7690193  7272296   154236  7734716   7667508   7725586   157451   145130  7835029  7772772
